TOKEN_ADDRESS,TIMESTAMP,PRICE
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-01,10.43054541
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-02,11.87038528
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-03,8.973385847
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-04,8.953127669
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-05,8.776378412
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-06,8.402441618
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-07,8.763376351
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-08,16.69169618
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-09,16.01347872
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-10,18.53510272
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-11,0.762823866
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-12,0.774074287
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-13,0.725620986
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-14,12.12262445
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-15,0.712651124
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-16,0.715714415
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-17,0.747765469
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-18,15.68083749
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-19,0.766167867
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-20,0.81920355
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-21,0.785014702
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-22,0.873771137
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-23,0.884213194
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-24,0.947692808
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-25,1.141845711
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-26,1.132001762
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-27,1.04978967
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-28,1.123628282
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-29,1.067342296
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-30,1.009627674
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-10-31,0.997390535
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-01,0.949536604
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-02,0.940961471
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-03,0.98253624
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-04,8.829123272
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-05,7.182843894
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-06,6.76253222
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-07,3.23686663
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-08,1.890682028
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-09,2.323050605
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-10,1.589892708
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-11,2.136765363
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-12,1.645211795
0x24ea0d436d3c2602fbfefbe6a16bbc304c963d04,2021-11-13,1.525716861
